column,entity,text
organization_code,A11_K00_01,"<p><b><a href=""https://fte.maryland.gov/#!/year/2021/operating/0/agency_name?vis=barChart"" target=""_blank"">Full Time Equivalent State Employees</a></b></p>  "
organization_code,A15_O00_01,"<p><b><a href=""https://fte.maryland.gov/#!/year/2021/operating/0/agency_name?vis=barChart"" target=""_blank"">Full Time Equivalent State Employees</a></b></p>Section 16-501 of the Local Government Article authorizes disparity grants to address the differences in the capacities of Baltimore City and certain counties to raise revenue from the local income tax. In general, the grants are the lesser of an amount to raise the jurisdiction's per capita income tax revenues to 75% of the state average or the fiscal year 2010 cap. The formula was modified during the 2013 legislative session to add a minimum grant amount based on the local tax effort of eligible counties and raises from 2.4% to 2.6% the local income tax rate required to be eligible to receive a grant."
organization_code,A15_O00_02,"<p><b><a href=""https://fte.maryland.gov/#!/year/2021/operating/0/agency_name?vis=barChart"" target=""_blank"">Full Time Equivalent State Employees</a></b></p>Section 16-503 of the Local Government Article authorizes annual grants to specified local jurisdictions to help offset the impact of sharing teachers' retirement costs with the counties and Baltimore City. The grants were established in Chapter 1 of the first special legislation session of 2012."
organization_code,A15_O00_03,"<p><b><a href=""https://fte.maryland.gov/#!/year/2021/operating/0/agency_name?vis=barChart"" target=""_blank"">Full Time Equivalent State Employees</a></b></p>The grants in this program represent revenues attributable to the State Admissions and Amusement (A&A) Tax that are distributed to certain jurisdictions per Md. TAX-GENERAL Code Ann. ÃÂ§ 2-202."
organization_code,B75_A01_01,"<p><b><a href=""https://fte.maryland.gov/#!/year/2021/operating/0/agency_name?vis=barChart"" target=""_blank"">Full Time Equivalent State Employees</a></b></p>The Senate is composed of 47 Senators. The Senate initiates legislation, holds legislative hearings, confirms designated appointments of the Governor and tries impeachment cases. Funds are provided for the compensation of the President of the Senate, Senators, and for staff; for reimbursement of expenses related to the session and meetings in the interim; and for each Senator's district office accounts."
organization_code,B75_A01_02,"<p><b><a href=""https://fte.maryland.gov/#!/year/2021/operating/0/agency_name?vis=barChart"" target=""_blank"">Full Time Equivalent State Employees</a></b></p>The House of Delegates is composed of 141 Delegates. The House initiates legislation; holds legislative hearings; conducts inquiries into complaints, grievances, and offenses as the Grand Inquest of the State; and has sole power of impeachment. Funds are provided for the compensation of the Speaker of the House of Delegates, Delegates, and staff; for reimbursement of expenses related to the session and meetings in the interim; and for each Delegate's district office accounts."
organization_code,B75_A01_03,"<p><b><a href=""https://fte.maryland.gov/#!/year/2021/operating/0/agency_name?vis=barChart"" target=""_blank"">Full Time Equivalent State Employees</a></b></p>Certain services for the General Assembly are administered on a joint basis including supplies, equipment and furniture, maintenance, and out-of-state travel."
organization_code,B75_A01_04,"<p><b><a href=""https://fte.maryland.gov/#!/year/2021/operating/0/agency_name?vis=barChart"" target=""_blank"">Full Time Equivalent State Employees</a></b></p>The primary duties of the Office of Operations and Support are to:     (1) Manage all financial activities of the Department and the General Assembly, consistent with the State budget and the policies of the President and the Speaker, the Management Subcommittee, and the Legislative Policy Committee.    (2) Manage all personnel functions for the Department and those personnel functions of the General Assembly as assigned by the President and the Speaker.    (3) Manage all document printing and publication for the Department.    (4) Oversee the operations of the Information Systems unit which include (a) Developing, coordinating, supporting, and maintaining the computer services, data processing, and information systems for the Department and the Gen"
organization_code,B75_A01_05,"<p><b><a href=""https://fte.maryland.gov/#!/year/2021/operating/0/agency_name?vis=barChart"" target=""_blank"">Full Time Equivalent State Employees</a></b></p>The primary duties of the Office of Legislative Audits are to: (1) Conduct fiscal and compliance audits of all agencies of the Executive and Judicial Branches of state government at least once every three years. (2) Conduct financial statement audits, performance audits, and special reviews of selected agencies as requested or as required by law. (3) Conduct financial management audits of local school systems. (4) Review the audit reports of local government units in the State."
organization_code,B75_A01_06,"<p><b><a href=""https://fte.maryland.gov/#!/year/2021/operating/0/agency_name?vis=barChart"" target=""_blank"">Full Time Equivalent State Employees</a></b></p>Effective July 1, 2018, the Office of Legislative Information Systems was eliminated as a separate budgetary unit of the Department of Legislative Services. The duties previously administered by the former Office of Legislative Information Systems were reorganized as the Information Systems unit within the Office of Operations and Support Services."
organization_code,B75_A01_07,"<p><b><a href=""https://fte.maryland.gov/#!/year/2021/operating/0/agency_name?vis=barChart"" target=""_blank"">Full Time Equivalent State Employees</a></b></p>Effective July 1, 2018, the Executive DirectorÃÂs Office was reorganized from the former Office of the Executive Director (B75A01.04) to the Office of Policy Analysis. The primary duties of the Executive Director are to: (1) Oversee the activities of the Department to ensure that its functions are performed correctly, efficiently, and timely, in a non-partisan manner. The primary duties of the Office of Policy Analysis are:     (1) Analyze and make recommendations on fiscal matters that relate to the State budget and on policy issues.    (2) Analyze and prepare legislation for members of the General Assembly.    (3) Analyze proposed and emergency regulations of Executive Branch agencies.    (4) Prepare recommendations for the revision of the statuto"
organization_code,C00_A00_01,"<p><b><a href=""https://fte.maryland.gov/#!/year/2021/operating/0/agency_name?vis=barChart"" target=""_blank"">Full Time Equivalent State Employees</a></b></p>The Court of Appeals is the State's highest court and generally exercises only appellate jurisdiction. The Chief Judge of the Court of Appeals is the administrative head of the judicial system of the State. The Court's appellate jurisdiction is almost fully discretionary with virtually all initial appeals heard by the Court of Special Appeals. In addition to its appellate adjudicatory functions, the Court of Appeals admits to the bar all persons eligible to practice law in the State; disciplines, suspends, and disbars lawyers subject to such action; and makes rules and regulations to govern practice, procedure, and judicial administration in all courts of the State."
organization_code,C00_A00_02,"<p><b><a href=""https://fte.maryland.gov/#!/year/2021/operating/0/agency_name?vis=barChart"" target=""_blank"">Full Time Equivalent State Employees</a></b></p>The Court of Special Appeals began operations pursuant to constitutional authorization and statutory implementation. It exercises initial appellate jurisdiction in virtually all proceedings, but has no original jurisdiction."
