Agency Name,FY2020,Carissa's name (from Google drive),FY2021,Different
Maryland State Department of Education,Maryland-State-Dept-of-Education-MFR.pdf,Maryland State Department of Education.pdf,Maryland-State-Department-of-Education-MFR.pdf,True
Maryland School for the Blind,Maryland-School-for-the-Blind-MFR.pdf,Maryland School for the Blind.pdf,Maryland-School-for-the-Blind-MFR.pdf,False
Blind Industries and Services of Maryland,Blind-Industries-and-Services-of-Maryland-MFR.pdf,Blind Industries and Services of Maryland.pdf,Blind-Industries-and-Services-of-Maryland-MFR.pdf,False
Maryland Longitudinal Data Center,Md-Longitudinal-Data-Sys-Center-MFR.pdf,Maryland Longitudinal Data System Center.pdf,Maryland-Longitudinal-Data-System-Center-MFR.pdf,True
Maryland School for the Deaf,Maryland-School-for-the-Deaf-MFR.pdf,Maryland School for the Blind.pdf,Maryland-School-for-the-Deaf-MFR.pdf,False
Interagency Committee on School Construction​,Interagency-Comm-on-School-Construction-MFR.pdf,Interagency Commission on School Construction.pdf,Interagency-Commission-on-School-Construction-MFR.pdf,True
Maryland Center for School Safety,,Maryland Center for School Safety.pdf,Maryland-Center-for-School-Safety-MFR.pdf,True
Higher Education Overview,Higher-Education-Overview-MFR.pdf,Higher Education Overview.pdf,MHEC-Higher-Education-Overview-MFR.pdf,True
Maryland Higher Education Commission​,Maryland-Higher-Education-Commission-MFR.pdf,Maryland Higher Education Commission.pdf,Maryland-Higher-Education-Commission-MFR.pdf,False
University System of Maryland,USM-University-System-of-Md-Overview-MFR.pdf,University System of Maryland - Overview.pdf,USM-University-of-Maryland-MFR.pdf,True
"University of Maryland, Baltimore",USM-University-of-Maryland-Baltimore-MFR.pdf,"University of Maryland, Baltimore .pdf",USM-University-of-Maryland-Baltimore-MFR.pdf,False
"University of Maryland, College Park",USM-University-of-Md-College-Park-MFR.pdf,University of Maryland College Park.pdf,USM-Univ-of-Md-College-Park-MFR.pdf,True
Bowie State University,Bowie-State-University-MFR.pdf,Bowie State University.pdf,USM-Bowie-State-University-MFR.pdf,True
Towson University,USM-Towson-University-MFR.pdf,Towson University.pdf,USM-Towson-University-MFR.pdf,False
University of Maryland Eastern Shore,USM-University-of-Md-Eastern-Shore-MFR.pdf,University of Maryland Eastern Shore.pdf,USM-Univ-of-Md-Eastern-Shore-MFR.pdf,True
Frostburg State University,Frostburg-State-University-MFR.pdf,Frostburg State University.pdf,USM-Frostburg-State-University-MFR.pdf,True
Coppin State University,Coppin-State-University-MFR.pdf,Coppin State University.pdf,USM-Coppin-State-University-MFR.pdf,True
University of Baltimore,USM-University-of-Baltimore-MFR.pdf,University of Baltimore.pdf,USM-University-of-Baltimore-MFR.pdf,False
Salisbury University,USM-Salisbury-University-MFR.pdf,Salisbury University.pdf,USM-Salisbury-University-MFR.pdf,False
University of Maryland University College,USM-University-of-Md-University-College-MFR.pdf,University of Maryland Global Campus.pdf,USM-University-of-Maryland-Global-Campus-MFR.pdf,True
University of Maryland Baltimore County,USM-University-of-Md-Baltimore-Co-MFR.pdf,University of Maryland Baltimore County.pdf,USM-University-of-Maryland-Baltimore-County-MFR.pdf,True
University of Maryland Center for Environmental Science,USM-University-of-Md-Center-for-Env-Science-MFR.pdf,University of Maryland Center for Environmental Science.pdf,USM-Univ-of-Md-Center-for-Environmental-Science-MFR.pdf,True
University System of Maryland Office,USM-University-System-of-Md-Office-MFR.pdf,University System of Maryland Office.pdf,USM-University-System-of-Maryland-Office-MFR.pdf,True
Baltimore City Community College,Baltimore-City-Community-College-MFR.pdf,Baltimore City Community College.pdf,Baltimore-City-Community-College-MFR.pdf,False
Morgan State University,Morgan-State-University-MFR.pdf,Morgan State University.pdf,Morgan-State-University-MFR.pdf,False
St. Mary’s College of Maryland,St-Marys-College-of-Maryland-MFR.pdf,St. Mary's College of Maryland.pdf,St-Marys-College-of-Maryland-MFR.pdf,False
Maryland 529,College-Savings-Plans-of-Maryland-MFR.pdf,Maryland 529.pdf,Maryland-529-MFR.pdf,True
Maryland Public Television​,Maryland-Public-Television-MFR.pdf,Maryland Public Broadcasting Commission.pdf,Maryland-Public-Television-MFR.pdf,False
Maryland State Library Agency​,Maryland-State-Library-Agency-MFR.pdf,Maryland State Library Agency.pdf,Maryland-State-Library-Agency-MFR.pdf,False
MDH Overview,Dept-of-Health-and-Mental-Hygiene-MFR.pdf,Maryland Department of Health - Overview.pdf,Maryland-Department-of-Health-Overview-MFR.pdf,True
MDH Facility Summaries and Other Supporting Data,M00-MDH-Facility-Summaries-MFR.pdf,,M00-MDH-Facility-Summaries-and-Other-Supporting-Data.pdf,True
Health Professional Boards and Commissions,Health-Prof-Boards-and-Commissions-MFR.pdf,Health Professional Boards and Commissions.pdf,MDH-Health-Prof-Boards-and-Commissions-MFR.pdf,True
Public Health Services​,MDH-Public-Health-Services-MFR.pdf,Public Health Services.pdf,MDH-Public-Health-Services-MFR.pdf,False
Deer's Head Hospital Center and Western Maryland Center,MDH-Services-and-Inst-Ops-Deers-Head-Hosp-Ctr-and-Western-Md-Ctr-MFR.pdf,Deer's Head Hospital Center and Western Maryland Center.pdf,MDH-Services-and-Inst-Ops-Deers-Head-Hosp-Ctr-and-Western-Md-Ctr-MFR.pdf,False
Behavioral Health Administration,MDH-Behavioral-Health-Admin-MFR.pdf,Behavioral Health Administration.pdf,MDH-Behavioral-Health-Admin-MFR.pdf,False
Developmental Disabilities Administration,Developmental-Disabilities-Administration-MFR.pdf,Developmental Disabilities Administration.pdf,MDH-Developmental-Disabilities-Admin-MFR.pdf,True
Medical Care Programs Administration,MDH-Medical-Care-Programs-Admin-MFR.pdf,Medical Care Programs Administration.pdf,MDH-Medical-Care-Programs-Administration-MFR.pdf,True
Health Regulatory Commissions,Maryland-Health-Care-Commission-MFR.pdf,Health Regulatory Commissions.pdf,MDH-Health-Regulatory-Commissions-MFR.pdf,True
Department of Aging,Department-of-Aging-MFR.pdf,Department of Aging.pdf,Department-of-Aging-MFR.pdf,False
Department of Disabilities,Maryland-Department-of-Disabilities-MFR.pdf,Maryland Department of Disabilites.pdf,Maryland-Department-of-Disabilities-MFR.pdf,False
